Uuendatud Githubis,https://github.com/Demokraatialabor/Protsessid,18.06.2018,Tulba pealkirjad > Ideekorje + tegevuskava täitmine + IRM raport,,,,,,,,,Siia info tegevuse vormilt,,,,,,,IRM hinnangule mõeldes
Põhimõtetes ja ajakavas kokku leppimine (13.03),Ideekorje,,Idee esitaja,Idee täpsustamine (kp),Kuidas ideed väärindati,Valik (kp),Mis ideega juhtus/ põhjendused,Kuidas avalikul konsultatsioonil ideed väärindati (kp),AVP koordineeriva kogu otsus,Valitsuse kinnitus,Edastamine AVP keskkontorile,"Elluviija, sh kontakt",Partnerid,AVP väärtused,Probleem,Tegevus,Kuidas tegevus probleemi lahendab,Verstapostid,Mõju hindamine
,EIS,,"Riigiknatselei, AVP ümarlaud",,,jah,,,,,,,,,,,,,
,Kultuur,,Riigikantselei,,,jah,,,,,,,,,,,,,
,Riigikogu,,AVP ümarlaud,,,jah,,,,,,,,,,,,,
,KOV tegevuskavad,,"Rahandusministeerium, AVP ümarlaud",,,jah,,,,,,,,,,,,,
,KOV teenuste mõõdikute näitlikustamine,,Rahandusministeerium,,,jah,,,,,,,,,,,,,
,Haridus,,,,,,"vastustus, fookus",,,,,,,,,,,,
,Strateegiline partnerlus,,,,,ei,"AVP väärtused, KODAR",,,,,,,,,,,,
,Korru,,,,,ei,Koruvastane strateegia,,,,,,,,,,,,
,,,,,,ei,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"AVP Riigikantselei veebis, sh ajakava",https://riigikantselei.ee/et/valitsuse-toetamine/avatud-valitsemise-partnerlus/2018-2020-tegevuskava-koostamine,,,,,,,,,,,,,,,,,,
AVP veeb,http://www.avatudvalitsemine.ee/tegevuskava/,,,,,,,,,,,,,,,,,,
AVP ideed (ideekorje faas),https://docs.google.com/document/d/1NqUCxZq-d-ktAKHm8fgS2Plur8lAJcFc1QLrhjRVuOM/edit#,,,,,,,,,,,,,,,,,,
AVP tegevuskava,tekib google docs link,,,,,,,,,,,,,,,,,,
IRM raportile koht,,,,,,,,,,,,,,,,,,,
