Uuendatud Githubis,https://github.com/Demokraatialabor/Protsessid,18.06.2018,,,,,,,,,
Dokumendi kood,Objekti/Mõõdiku kood,Objekti/Mõõdiku nimetus,Eesmärk,Eelarve 2018,Tegelik 2018,Eelarve 2019,Tegelik 2019,Eelarve 2020,Tegelik 2020,Eelarve 2021,Tegelik 2021
DOK-019,SDG,,,,,,,,,,
DOK-019,SDG-01,,,,,,,,,,
DOK-019,SDG-02,,,,,,,,,,
DOK-019,SDG-03,,,,,,,,,,
DOK-019,SDG-04,,,,,,,,,,
DOK-019,SDG-05,,,,,,,,,,
DOK-019,SDG-06,,,,,,,,,,
DOK-019,SDG-07,,,,,,,,,,
DOK-019,SDG-08,,,,,,,,,,
DOK-019,SDG-09,,,,,,,,,,
DOK-019,SDG-10,,,,,,,,,,
DOK-019,SDG-11,Vaimne ja materiaalne pärandkultuur/vai mse ja materiaalse kultuuripärandi säilimine,,,,,,,,,
DOK-019,SDG-11-01,Heas ja rahuldavas seisukorras olevate ehitismälestiste osakaal,,,,,,,,,
DOK-019,SDG-11-02,Linnades toimunud liiklusõnnetuste tagajärjel vigastatute ja hukkunute arv,,,,,,,,,
DOK-019,SDG-11-03,"Peenosakesed PM10 ja PM2,5 välisõhus",,,,,,,,,
DOK-019,SDG-11-04,Rohealad linnades,,,,,,,,,
DOK-019,SDG-11-05,Rahulolu eluruumide seisundiga,,,,,,,,,
DOK-019,SDG-11-06,"Ühistranspordiga, jalgrattaga või jalgsi tööl käijate osakaal",,,,,,,,,
DOK-019,SDG-12,,,,,,,,,,
DOK-019,SDG-13,,,,,,,,,,
DOK-019,SDG-14,,,,,,,,,,
DOK-019,SDG-15,,,,,,,,,,
DOK-019,SDG-16,,,,,,,,,,
DOK-019,SDG-17,,,,,,,,,,
DOK-020,,Eesti eesmärgiks on tõsta tootlikkust hõivatu kohta Euroopa Liidu keskmisega võrreldes 2015. aastaks 73%ni ning 2020. aastaks 80%ni.,,,,,,,,,
DOK-020,,Eesti eesmärgiks on tõsta tööhõive määra 20-64 aastaste seas 2015. aastaks 72%ni ning 2020. aastaks 76%ni.,,,,,,,,,
