Uuendatud Githubis,https://github.com/Demokraatialabor/Protsessid,05.08.2018,,,
jrk,Komisjoni nimi,Juht,Kohtumiste sagedus,Koosseis,Link
3,AVP koordineeriv kogu,Riigisekretär ,,,
2,Haldusvõimekuse valdkondlik komisjon,,,,
4,Haldusvõimekuse valdkondlik komisjon,,,,
1,Infoühiskonna valdkondlik komisjon,,,,
8,Riigireformi koordinatsioonikogu,,,,
7,Regionaalarengu valdkondlik komisjon,,,,
19,säästva arengu komisjon ,,,,
,vanemaealiste poliitika komisjon ,,,,
2,Eesti Kodanikuühiskonna arengu kontseptsiooni ühiskomisjon,,,,
20,ministeeriumidevaheline konkurentsivõime töörühm,,,,
38,"""Teadmistepõhine Eesti"" strateegia koostamise komisjon",,,,
38,teaduspoliitika komisjon,,,,
38,innovatsiooni- ja ettevõtluspoliitika komisjon,,,,
38,teadus- ja innovatsioonipoliitika seire programmi,,,,
1,infoühiskonna nõukogu,,,,
16,Riigikogu Riigireformi probleemkomisjon,,,,
18,Arengukava koostamise juhtrühm,,,,
1,Visioonivõrgustik,,,,
