Uuendatud Githubis,https://github.com/Demokraatialabor/Protsessid,05.08.2018,,,
Dokumendi kood,Komisjoni nimi,Juht,Kohtumiste sagedus,Koosseis,Link
DOK-003,AVP koordineeriv kogu,Riigisekretär ,,,
"DOK-002, DOK-004",Haldusvõimekuse valdkondlik komisjon,,,,
DOK-001,Infoühiskonna valdkondlik komisjon,,,,
DOK-008,Riigireformi koordinatsioonikogu,,,,
DOK-007,Regionaalarengu valdkondlik komisjon,,,,
DOK-019,säästva arengu komisjon ,,,,
,vanemaealiste poliitika komisjon ,,,,
DOK-002,Eesti Kodanikuühiskonna arengu kontseptsiooni ühiskomisjon,,,,
DOK-020,ministeeriumidevaheline konkurentsivõime töörühm,,,,
DOK-038,"""Teadmistepõhine Eesti"" strateegia koostamise komisjon",,,,
DOK-038,teaduspoliitika komisjon,,,,
DOK-038,innovatsiooni- ja ettevõtluspoliitika komisjon,,,,
DOK-038,teadus- ja innovatsioonipoliitika seire programmi,,,,
DOK-001,infoühiskonna nõukogu,,,,
DOK-016,Riigikogu Riigireformi probleemkomisjon,,,,
DOK-018,Arengukava koostamise juhtrühm,,,,
DOK-001,Visioonivõrgustik,,,,
